baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	495.833400660443	-0.618068206123624	0.284597613514885	-2.17172659492908	0.0298762913018787	0.133664573037603
AT1G01020	102.658736590313	0.406211349180519	0.29703938485583	1.36753363321728	0.171458102596286	0.409781960366452
AT1G01030	147.975653156485	0.276209297245789	0.274696410382757	1.00550748683219	0.314652546223239	0.579656477763766
AT1G01040	784.420635779678	-0.193231024906391	0.260259210206887	-0.742456048924402	0.457811071429903	0.705582362119791
AT1G01046	0.881779353232438	3.35479488455826	2.44596292952343	1.37156407567138	0.170199183657332	NA
AT1G01050	1200.83713094752	-0.0280457736913487	0.176076511183243	-0.159281743503887	0.873446903699338	0.949596361610604
AT1G01060	1454.89766315247	0.45339443424743	0.166749313796031	2.71901829114587	0.00654759872617582	0.0457258201882779
AT1G01070	150.95293595857	-1.56692063294093	0.287669702567777	-5.44694355698354	5.12427149716709e-08	3.98827351595029e-06
AT1G01080	815.9973092138	0.555388033284282	0.223132445799067	2.48905098178512	0.0128084597233015	0.0740521886307986
AT1G01090	2081.66835735111	0.297259381426886	0.227845470092101	1.30465346230814	0.192010874838889	0.437411935404579
AT1G01100	3289.26474224161	0.0141975497016883	0.275082852889222	0.0516119036594612	0.958837934234148	0.985055002722988
AT1G01110	201.95296715195	0.0268458053050737	0.208129698005999	0.128985942718756	0.897368771990485	0.962288880992042
AT1G01120	6451.44117854319	-0.352306852276877	0.197071422097183	-1.78771152370912	0.0738225615723979	0.244928566404614
AT1G01130	25.3270317410246	0.381603424202457	0.512227183042511	0.744988623867676	0.456278597127288	0.704374818121881
AT1G01140	837.203815638104	-0.170563945917517	0.239018018232303	-0.713602878891519	0.475472776874273	0.719110328860434
AT1G01150	4.84842678226529	-0.40638651800303	0.972942925106814	-0.41768793165171	0.676175297063889	NA
AT1G01160	605.506588266938	-0.184415615575413	0.17369404383273	-1.06172676682574	0.288359744195531	0.552885472837014
AT1G01170	811.755816024449	0.10107157948073	0.207902097444342	0.486149878828366	0.626860904617926	0.822665191065631
AT1G01180	579.660220313814	-0.58996441522656	0.260738955798016	-2.26266310464011	0.0236564648560622	0.113424737212449
AT1G01183	0	NA	NA	NA	NA	NA
AT1G01190	15.2434369067321	-1.54181833917154	0.66347737298759	-2.32384464330538	0.02013382205403	0.101443790461845
AT1G01200	83.6098371284781	0.58269634257244	0.288924456709312	2.01677749682053	0.0437187383288838	0.173483762802608
AT1G01210	100.56784097055	0.291334892253568	0.35375299107204	0.823554569448825	0.410192698666714	0.666449098570624
AT1G01220	473.810955473589	0.43936603758806	0.204117517453401	2.15251509556677	0.0313568076454464	0.138287320313671
AT1G01225	37.3935074929932	0.330423534915321	0.437809382715003	0.754720085865346	0.450416952103266	0.700082409107714
AT1G01230	502.837525532701	0.191593891603284	0.187555171549509	1.0215335040906	0.307001743897572	0.571397407562637
